location_uid,city_id,city_name,region_code,zip_code,source_system,active_flag
05084_05230,05084,MONTGARDIN,93,05230,insee_communes_bocp_2025,true
05085_05100,05085,MONTGENEVRE,93,05100,insee_communes_bocp_2025,true
05086_05150,05086,MONTJAY,93,05150,insee_communes_bocp_2025,true
05087_05400,05087,MONTMAUR,93,05400,insee_communes_bocp_2025,true
05089_05700,05089,MONTROND,93,05700,insee_communes_bocp_2025,true
05090_05500,05090,LA MOTTE EN CHAMPSAUR,93,05500,insee_communes_bocp_2025,true
05091_05150,05091,MOYDANS,93,05150,insee_communes_bocp_2025,true
05092_05000,05092,NEFFES,93,05000,insee_communes_bocp_2025,true
05093_05100,05093,NEVACHE,93,05100,insee_communes_bocp_2025,true
05094_05700,05094,NOSSAGE ET BENEVENT,93,05700,insee_communes_bocp_2025,true
05095_05500,05095,LE NOYER,93,05500,insee_communes_bocp_2025,true
05096_05170,05096,ORCIERES,93,05170,insee_communes_bocp_2025,true
05096_05170,05096,ORCIERES,93,05170,insee_communes_bocp_2025,true
05097_05700,05097,ORPIERRE,93,05700,insee_communes_bocp_2025,true
05098_05200,05098,LES ORRES,93,05200,insee_communes_bocp_2025,true
05099_05400,05099,OZE,93,05400,insee_communes_bocp_2025,true
05100_05000,05100,PELLEAUTIER,93,05000,insee_communes_bocp_2025,true
05101_05290,05101,VALLOUISE PELVOUX,93,05290,insee_communes_bocp_2025,true
05101_05340,05101,VALLOUISE PELVOUX,93,05340,insee_communes_bocp_2025,true
05101_05340,05101,VALLOUISE PELVOUX,93,05340,insee_communes_bocp_2025,true
05102_05700,05102,LA PIARRE,93,05700,insee_communes_bocp_2025,true
05103_05300,05103,LE POET,93,05300,insee_communes_bocp_2025,true
05104_05500,05104,POLIGNY,93,05500,insee_communes_bocp_2025,true
05106_05230,05106,PRUNIERES,93,05230,insee_communes_bocp_2025,true
05107_05100,05107,PUY ST ANDRE,93,05100,insee_communes_bocp_2025,true
05108_05200,05108,PUY ST EUSEBE,93,05200,insee_communes_bocp_2025,true
05109_05100,05109,PUY ST PIERRE,93,05100,insee_communes_bocp_2025,true
05110_05290,05110,PUY ST VINCENT,93,05290,insee_communes_bocp_2025,true
05111_05200,05111,PUY SANIERES,93,05200,insee_communes_bocp_2025,true
05112_05400,05112,RABOU,93,05400,insee_communes_bocp_2025,true
05113_05000,05113,RAMBAUD,93,05000,insee_communes_bocp_2025,true
05114_05160,05114,REALLON,93,05160,insee_communes_bocp_2025,true
05115_05190,05115,REMOLLON,93,05190,insee_communes_bocp_2025,true
05116_05600,05116,REOTIER,93,05600,insee_communes_bocp_2025,true
